"year","mm-dd","location","parameter","unit","datatype","value"
2023,"1-1","VNS","flow","CFS","Flow",5283.917
2023,"1-2","VNS","flow","CFS","Flow",9083.125
2023,"1-3","VNS","flow","CFS","Flow",9855.2
2023,"1-4","VNS","flow","CFS","Flow",7597.8
2023,"1-5","VNS","flow","CFS","Flow",5851.08
2023,"1-6","VNS","flow","CFS","Flow",5981.44
2023,"1-7","VNS","flow","CFS","Flow",7777.333
2023,"1-8","VNS","flow","CFS","Flow",6717.52
2023,"1-9","VNS","flow","CFS","Flow",6890
2023,"1-10","VNS","flow","CFS","Flow",9538.542
2023,"1-11","VNS","flow","CFS","Flow",12624.16
2023,"1-12","VNS","flow","CFS","Flow",12986.52
2023,"1-13","VNS","flow","CFS","Flow",12184
2023,"1-14","VNS","flow","CFS","Flow",12479.32
2023,"1-15","VNS","flow","CFS","Flow",14510.2
2023,"1-16","VNS","flow","CFS","Flow",18222.12
2023,"1-17","VNS","flow","CFS","Flow",21078.12
2023,"1-18","VNS","flow","CFS","Flow",24075.8
2023,"1-19","VNS","flow","CFS","Flow",24388.16
2023,"1-20","VNS","flow","CFS","Flow",22937.64
2023,"1-21","VNS","flow","CFS","Flow",21883.64
2023,"1-22","VNS","flow","CFS","Flow",20826.96
2023,"1-23","VNS","flow","CFS","Flow",19729.68
2023,"1-24","VNS","flow","CFS","Flow",18597
2023,"1-25","VNS","flow","CFS","Flow",17517.16
2023,"1-26","VNS","flow","CFS","Flow",16500.6
2023,"1-27","VNS","flow","CFS","Flow",15541.68
2023,"1-28","VNS","flow","CFS","Flow",14463.92
2023,"1-29","VNS","flow","CFS","Flow",13155.417
2023,"1-30","VNS","flow","CFS","Flow",11890.708
2023,"1-31","VNS","flow","CFS","Flow",10732.48
2023,"2-1","VNS","flow","CFS","Flow",9713
2023,"2-2","VNS","flow","CFS","Flow",8855.36
2023,"2-3","VNS","flow","CFS","Flow",7854.08
2023,"2-4","VNS","flow","CFS","Flow",7147.92
2023,"2-5","VNS","flow","CFS","Flow",6619.96
2023,"2-6","VNS","flow","CFS","Flow",6208.2
2023,"2-7","VNS","flow","CFS","Flow",5916.72
2023,"2-8","VNS","flow","CFS","Flow",5784.68
2023,"2-9","VNS","flow","CFS","Flow",5606.64
2023,"2-10","VNS","flow","CFS","Flow",5243.6
2023,"2-11","VNS","flow","CFS","Flow",4857.792
2023,"2-12","VNS","flow","CFS","Flow",4471.652
2023,"2-13","VNS","flow","CFS","Flow",4194.767
2023,"2-14","VNS","flow","CFS","Flow",3961.52
