"lowerCI","median","upperCI","week","OMR","Export","ObservedLoss","weekly_avg_mal_wtemp","weekly_avg_fpt_flow","weekly_avg_vns_flow","calendar_date","wy"
0,17.44,118.638,15,-5512.85714285714,5986.71428571429,23.08,10.3977142857143,16860.7798571429,1859.90957142857,2025-01-07,2025
0,12.96,120.19,16,-5300,5388.57142857143,7.21,10.0407142857143,23745.3454285714,1908.46542857143,2025-01-14,2025
0,16.86,125.6195,17,-2805.71428571429,3931.57142857143,34.18,10.9451428571429,40931.5894285714,3442.51142857143,2025-01-21,2025
0,67.26,818.07,18,-3189.57142857143,3938.71428571429,126.88,12.0925714285714,39896.7798571429,3793.21442857143,2025-01-28,2025
5.2,392.77,1359.39,19,-4537.14285714286,7296.14285714286,402.82,11.5398571428571,61321.7738571429,7148.48728571429,2025-02-04,2025
0,96.49,553.430999999998,20,-4202.85714285714,6703.14285714286,69.26,11.0238571428571,52035.1487142857,6661.48542857143,2025-02-11,2025
27.5,455.98,1733.57,21,-3310,7049.71428571429,710.88,12.0052857142857,65318.0537142857,9071.53714285714,2025-02-18,2025
27.5,400.95,1496.13,22,-3432.85714285714,6731.71428571429,294.65,12.6191428571429,66389.381,8099.43428571429,2025-02-25,2025
27.5,464.19,1496.13,23,-3248.57142857143,7551.42857142857,627.96,11.8005714285714,62429.9632857143,9599.09,2025-03-04,2025
20.5705,394.09,1040.01,24,-1377.85714285714,3261.85714285714,336.82,12.565,54301.7915714286,5447.43428571429,2025-03-11,2025
3.88,211.51,1040.01,25,-2051.71428571429,2893.57142857143,393.26,14.069,42966.6605714286,5248.03428571429,2025-03-18,2025
3.88,211.51,1156.93399999999,26,-3552.14285714286,3750.85714285714,721.31,14.4428571428571,40745.5238571429,5164.58285714286,2025-03-25,2025
0,66.99,1040.01,27,-2424.85714285714,4132.71428571429,360.55,14.3194285714286,39568.8392857143,4592.15428571429,2025-04-01,2025
0,11.65,211.51,28,-1043,2141.28571428571,86.81,15.1195714285714,30951.8987142857,5046.73714285714,2025-04-08,2025
0,0,25.94,29,154.142857142857,1532.42857142857,8.66,16.3167142857143,31798.1725714286,5372.36,2025-04-15,2025
0,0,17.354,32,-939.714285714286,1469,4.33,17.6018571428571,29168.9524285714,4512.28,2025-05-06,2025
