"year","mm-dd","location","parameter","unit","datatype","value"
2023,"1-1","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4270
2023,"1-2","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3710
2023,"1-3","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2777
2023,"1-4","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3810
2023,"1-5","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2705
2023,"1-6","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-546
2023,"1-7","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2360
2023,"1-8","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2578
2023,"1-9","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2278
2023,"1-10","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-845
2023,"1-11","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-598
2023,"1-12","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2174
2023,"1-13","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2582
2023,"1-14","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2670
2023,"1-15","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",NA
2023,"1-16","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",NA
2023,"1-17","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",NA
2023,"1-18","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",NA
2023,"1-19","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-833
2023,"1-20","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-982
2023,"1-21","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2143
2023,"1-22","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2966
2023,"1-23","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3234
2023,"1-24","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4380
2023,"1-25","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4860
2023,"1-26","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5030
2023,"1-27","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5900
2023,"1-28","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-6050
2023,"1-29","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5230
2023,"1-30","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5680
2023,"1-31","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-6040
2023,"2-1","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5980
2023,"2-2","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5860
2023,"2-3","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5660
2023,"2-4","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5910
2023,"2-5","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5180
2023,"2-6","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4030
2023,"2-7","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4960
2023,"2-8","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4750
2023,"2-9","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5240
2023,"2-10","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5880
2023,"2-11","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5830
2023,"2-12","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-6000
2023,"2-13","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5510
2023,"2-14","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4380
2023,"2-15","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5000
2023,"2-16","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5180
2023,"2-17","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5230
2023,"2-18","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4120
2023,"2-19","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3600
2023,"2-20","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3890
2023,"2-21","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3680
2023,"2-22","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2257
2023,"2-23","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3150
2023,"2-24","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3690
2023,"2-25","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3260
2023,"2-26","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3250
2023,"2-27","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3155
2023,"2-28","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3286
2023,"2-29","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",NA
2023,"3-1","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-2274
2023,"3-2","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-3273
2023,"3-3","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5570
2023,"3-4","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5590
2023,"3-5","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4650
2023,"3-6","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-4470
2023,"3-7","Combined","OMRDailyUSGS","CFS","OMRDailyUSGS",-5270
