"year","mm-dd","location","parameter","unit","datatype","value"
2023,"1-1","MAL","wtemp","F","WaterTemperature",49.188
2023,"1-2","MAL","wtemp","F","WaterTemperature",49.025
2023,"1-3","MAL","wtemp","F","WaterTemperature",48.863
2023,"1-4","MAL","wtemp","F","WaterTemperature",48.863
2023,"1-5","MAL","wtemp","F","WaterTemperature",49.263
2023,"1-6","MAL","wtemp","F","WaterTemperature",49.47
2023,"1-7","MAL","wtemp","F","WaterTemperature",49.508
2023,"1-8","MAL","wtemp","F","WaterTemperature",49.525
2023,"1-9","MAL","wtemp","F","WaterTemperature",49.871
2023,"1-10","MAL","wtemp","F","WaterTemperature",50.038
2023,"1-11","MAL","wtemp","F","WaterTemperature",50.1
2023,"1-12","MAL","wtemp","F","WaterTemperature",50.292
2023,"1-13","MAL","wtemp","F","WaterTemperature",50.604
2023,"1-14","MAL","wtemp","F","WaterTemperature",50.913
2023,"1-15","MAL","wtemp","F","WaterTemperature",51.088
2023,"1-16","MAL","wtemp","F","WaterTemperature",50.958
2023,"1-17","MAL","wtemp","F","WaterTemperature",50.838
2023,"1-18","MAL","wtemp","F","WaterTemperature",50.646
2023,"1-19","MAL","wtemp","F","WaterTemperature",50.371
2023,"1-20","MAL","wtemp","F","WaterTemperature",49.875
2023,"1-21","MAL","wtemp","F","WaterTemperature",49.271
2023,"1-22","MAL","wtemp","F","WaterTemperature",48.954
2023,"1-23","MAL","wtemp","F","WaterTemperature",48.392
2023,"1-24","MAL","wtemp","F","WaterTemperature",48.017
2023,"1-25","MAL","wtemp","F","WaterTemperature",47.938
2023,"1-26","MAL","wtemp","F","WaterTemperature",48.067
2023,"1-27","MAL","wtemp","F","WaterTemperature",48.204
2023,"1-28","MAL","wtemp","F","WaterTemperature",48.367
2023,"1-29","MAL","wtemp","F","WaterTemperature",48.258
2023,"1-30","MAL","wtemp","F","WaterTemperature",47.7
2023,"1-31","MAL","wtemp","F","WaterTemperature",47.367
2023,"2-1","MAL","wtemp","F","WaterTemperature",47.333
2023,"2-2","MAL","wtemp","F","WaterTemperature",47.363
2023,"2-3","MAL","wtemp","F","WaterTemperature",47.521
2023,"2-4","MAL","wtemp","F","WaterTemperature",47.742
2023,"2-5","MAL","wtemp","F","WaterTemperature",48.1
2023,"2-6","MAL","wtemp","F","WaterTemperature",48.121
2023,"2-7","MAL","wtemp","F","WaterTemperature",48.258
2023,"2-8","MAL","wtemp","F","WaterTemperature",48.45
2023,"2-9","MAL","wtemp","F","WaterTemperature",48.696
2023,"2-10","MAL","wtemp","F","WaterTemperature",48.925
2023,"2-11","MAL","wtemp","F","WaterTemperature",49.058
2023,"2-12","MAL","wtemp","F","WaterTemperature",49.3
2023,"2-13","MAL","wtemp","F","WaterTemperature",49.7
2023,"2-14","MAL","wtemp","F","WaterTemperature",49.804
2023,"2-15","MAL","wtemp","F","WaterTemperature",49.446
2023,"2-16","MAL","wtemp","F","WaterTemperature",49.446
2023,"2-17","MAL","wtemp","F","WaterTemperature",49.542
2023,"2-18","MAL","wtemp","F","WaterTemperature",49.717
2023,"2-19","MAL","wtemp","F","WaterTemperature",50.004
2023,"2-20","MAL","wtemp","F","WaterTemperature",50.3
2023,"2-21","MAL","wtemp","F","WaterTemperature",50.513
2023,"2-22","MAL","wtemp","F","WaterTemperature",49.963
2023,"2-23","MAL","wtemp","F","WaterTemperature",49.392
2023,"2-24","MAL","wtemp","F","WaterTemperature",48.879
2023,"2-25","MAL","wtemp","F","WaterTemperature",48.675
2023,"2-26","MAL","wtemp","F","WaterTemperature",48.654
2023,"2-27","MAL","wtemp","F","WaterTemperature",48.375
2023,"2-28","MAL","wtemp","F","WaterTemperature",48.171
2023,"2-29","MAL","wtemp","F","WaterTemperature",NA
2023,"3-1","MAL","wtemp","F","WaterTemperature",48.017
2023,"3-2","MAL","wtemp","F","WaterTemperature",48.029
2023,"3-3","MAL","wtemp","F","WaterTemperature",48.35
2023,"3-4","MAL","wtemp","F","WaterTemperature",48.379
2023,"3-5","MAL","wtemp","F","WaterTemperature",48.283
2023,"3-6","MAL","wtemp","F","WaterTemperature",48.317
2023,"3-7","MAL","wtemp","F","WaterTemperature",48.454
2023,"3-8","MAL","wtemp","F","WaterTemperature",48.654
2023,"3-9","MAL","wtemp","F","WaterTemperature",48.75
2023,"3-10","MAL","wtemp","F","WaterTemperature",49.133
2023,"3-11","MAL","wtemp","F","WaterTemperature",49.479
2023,"3-12","MAL","wtemp","F","WaterTemperature",49.991
2023,"3-13","MAL","wtemp","F","WaterTemperature",50.848
2023,"3-14","MAL","wtemp","F","WaterTemperature",51.363
2023,"3-15","MAL","wtemp","F","WaterTemperature",51.982
2023,"3-16","MAL","wtemp","F","WaterTemperature",52.396
2023,"3-17","MAL","wtemp","F","WaterTemperature",53.004
2023,"3-18","MAL","wtemp","F","WaterTemperature",53.854
2023,"3-19","MAL","wtemp","F","WaterTemperature",54.225
2023,"3-20","MAL","wtemp","F","WaterTemperature",54.352
2023,"3-21","MAL","wtemp","F","WaterTemperature",54.179
2023,"3-22","MAL","wtemp","F","WaterTemperature",53.6
2023,"3-23","MAL","wtemp","F","WaterTemperature",53.496
2023,"3-24","MAL","wtemp","F","WaterTemperature",53.379
2023,"3-25","MAL","wtemp","F","WaterTemperature",53.521
2023,"3-26","MAL","wtemp","F","WaterTemperature",53.642
2023,"3-27","MAL","wtemp","F","WaterTemperature",53.808
2023,"3-28","MAL","wtemp","F","WaterTemperature",53.9
2023,"3-29","MAL","wtemp","F","WaterTemperature",53.496
2023,"3-30","MAL","wtemp","F","WaterTemperature",53.45
2023,"3-31","MAL","wtemp","F","WaterTemperature",53.538
2023,"4-1","MAL","wtemp","F","WaterTemperature",53.696
2023,"4-2","MAL","wtemp","F","WaterTemperature",53.892
2023,"4-3","MAL","wtemp","F","WaterTemperature",53.742
2023,"4-4","MAL","wtemp","F","WaterTemperature",53.658
2023,"4-5","MAL","wtemp","F","WaterTemperature",54.063
2023,"4-6","MAL","wtemp","F","WaterTemperature",54.675
2023,"4-7","MAL","wtemp","F","WaterTemperature",55.096
2023,"4-8","MAL","wtemp","F","WaterTemperature",55.588
2023,"4-9","MAL","wtemp","F","WaterTemperature",56.325
2023,"4-10","MAL","wtemp","F","WaterTemperature",57.296
2023,"4-11","MAL","wtemp","F","WaterTemperature",58.25
2023,"4-12","MAL","wtemp","F","WaterTemperature",58.533
2023,"4-13","MAL","wtemp","F","WaterTemperature",58.771
2023,"4-14","MAL","wtemp","F","WaterTemperature",58.975
2023,"4-15","MAL","wtemp","F","WaterTemperature",59.321
2023,"4-16","MAL","wtemp","F","WaterTemperature",59.408
2023,"4-17","MAL","wtemp","F","WaterTemperature",59.142
2023,"4-18","MAL","wtemp","F","WaterTemperature",58.738
2023,"4-19","MAL","wtemp","F","WaterTemperature",58.529
2023,"4-20","MAL","wtemp","F","WaterTemperature",58.746
2023,"4-21","MAL","wtemp","F","WaterTemperature",59.229
2023,"4-22","MAL","wtemp","F","WaterTemperature",59.963
